,B Cells_marker_mean,CAFs_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,Monocytes_marker_mean,Myofibroblasts_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean,Unnamed: 0,cancer_type,reference_dataset,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,B Cells,CD8 T,Fibroblasts
TCGA-OR-A5LC-01A,18.798,29.547,3.958,1.0,1.0,88.942,211.269,1.0,1.0,486.918,4.792,1.0,42.178,510,ACC,simu_bulk_2ds_ref,0.0,0.0,0.003,0.0,0.003,0.0,0.822,0.0,0.039,0.039,0.064,0.026,0.004,0.0,0.0,0.0,0.0,0.003,0.10300000000000001
TCGA-OR-A5LH-01A,3.735,4.392,5.422,2.166,1.0,70.809,211.241,1.0,1.0,509.354,24.485,1.0,92.007,511,ACC,simu_bulk_2ds_ref,0.001,0.01,0.004,0.0,0.025,0.0,0.759,0.001,0.061,0.0,0.031,0.102,0.006,0.0,0.0,0.0,0.011,0.025,0.031
TCGA-OR-A5LM-01A,1.973,5.187,8.477,1.0,1.0,56.935,141.627,1.0,1.0,421.402,5.662,1.0,5.245,512,ACC,simu_bulk_2ds_ref,0.001,0.0,0.008,0.0,0.005,0.0,0.879,0.0,0.025,0.0,0.036,0.034,0.011,0.0,0.0,0.0,0.001,0.005,0.036
TCGA-OR-A5J5-01A,3.584,13.364,7.411,1.0,1.0,47.957,43.33,1.0,1.0,292.731,5.175,1.0,10.583,513,ACC,simu_bulk_2ds_ref,0.001,0.0,0.0,0.0,0.007,0.0,0.935,0.0,0.008,0.002,0.024,0.016,0.007,0.0,0.0,0.0,0.001,0.007,0.026000000000000002
TCGA-P6-A5OF-01A,7.66,18.402,14.585,1.0,1.0,97.513,133.974,1.0,1.0,219.024,3.191,2.855,10.562,514,ACC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.005,0.0,0.784,0.0,0.048,0.061,0.045,0.05,0.005,0.0,0.0,0.0,0.0,0.005,0.106
TCGA-OR-A5LD-01A,37.798,4.975,1.681,1.0,1.0,37.175,9.04,1.0,1.0,599.226,2.343,1.0,3.603,515,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.946,0.005,0.003,0.018,0.011,0.015,0.001,0.0,0.0,0.0,0.0,0.0,0.028999999999999998
TCGA-OR-A5L3-01A,5.795,1.297,1.0,1.0,1.0,18.444,30.558,1.0,1.0,467.589,1.0,1.0,1.578,516,ACC,simu_bulk_2ds_ref,0.001,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.004,0.008,0.035,0.03,0.001,0.0,0.0,0.0,0.001,0.0,0.043000000000000003
TCGA-OR-A5LK-01A,3.98,10.59,17.91,4.721,5.857,55.401,223.313,61.78,1.0,213.789,18.073,1.783,122.828,517,ACC,simu_bulk_2ds_ref,0.007,0.0,0.0,0.0,0.014,0.0,0.758,0.018,0.013,0.0,0.01,0.163,0.016,0.0,0.0,0.0,0.007,0.014,0.01
TCGA-OR-A5LG-01A,3.592,22.413,12.125,2.073,1.61,59.921,484.237,1.0,1.0,1113.761,9.085,1.25,60.156,518,ACC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.0,0.0,0.816,0.0,0.019,0.06,0.011,0.09,0.002,0.0,0.0,0.0,0.0,0.0,0.071
TCGA-OR-A5KO-01A,8.435,12.258,13.242,1.0,1.0,77.443,20.544,1.0,1.0,544.779,1.963,1.0,18.35,519,ACC,simu_bulk_2ds_ref,0.0,0.0,0.002,0.0,0.007,0.0,0.877,0.0,0.043,0.025,0.028,0.015,0.002,0.0,0.0,0.0,0.0,0.007,0.053000000000000005
TCGA-OR-A5JJ-01A,18.415,19.688,4.29,4.015,1.0,70.517,77.886,1.054,1.0,37.73,16.218,1.0,4.121,520,ACC,simu_bulk_2ds_ref,0.006,0.0,0.005,0.003,0.016,0.0,0.866,0.0,0.025,0.02,0.028,0.027,0.004,0.0,0.0,0.0,0.006,0.019,0.048
TCGA-OR-A5JL-01A,3.512,1.733,20.34,1.0,1.66,111.819,242.641,1.0,4.303,15.675,12.458,1.0,92.431,521,ACC,simu_bulk_2ds_ref,0.004,0.0,0.012,0.0,0.013,0.0,0.776,0.0,0.075,0.0,0.044,0.067,0.009,0.0,0.0,0.0,0.004,0.013,0.044
TCGA-OR-A5KV-01A,5.472,77.047,2.424,6.717,1.0,82.201,41.162,1.473,1.0,946.131,2.824,1.0,12.227,522,ACC,simu_bulk_2ds_ref,0.007,0.0,0.001,0.0,0.012,0.0,0.926,0.001,0.021,0.006,0.001,0.02,0.007,0.0,0.0,0.0,0.007,0.012,0.007
TCGA-OR-A5JE-01A,95.773,7.091,6.055,1.0,1.129,121.513,279.625,1.299,1.0,2186.007,2.6,1.07,13.63,523,ACC,simu_bulk_2ds_ref,0.0,0.0,0.005,0.0,0.002,0.0,0.858,0.0,0.026,0.032,0.009,0.063,0.004,0.0,0.0,0.0,0.0,0.002,0.041
TCGA-PK-A5HB-01A,2.797,13.464,86.83,1.0,1.0,383.486,65.11,3.188,1.0,2080.911,1.856,1.0,2.98,524,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.807,0.0,0.074,0.0,0.103,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.103
TCGA-OR-A5JM-01A,29.256,12.518,7.832,1.0,1.0,61.61,20.351,1.0,1.0,455.875,1.0,1.0,35.845,525,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.014,0.0,0.929,0.0,0.021,0.016,0.003,0.013,0.004,0.0,0.0,0.0,0.0,0.014,0.019
TCGA-OR-A5JD-01A,1.134,12.027,12.553,2.856,3.83,47.083,129.287,3.014,1.0,374.535,13.601,1.164,1.916,526,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.014,0.0,0.824,0.001,0.015,0.0,0.041,0.103,0.002,0.0,0.0,0.0,0.0,0.014,0.041
TCGA-OR-A5LN-01A,1.035,5.901,7.892,3.176,1.0,41.003,124.965,1.648,1.0,659.833,14.267,1.19,38.906,527,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.007,0.0,0.911,0.0,0.011,0.0,0.001,0.069,0.001,0.0,0.0,0.0,0.0,0.007,0.001
TCGA-OR-A5K6-01A,4.999,4.376,8.437,1.0,1.0,75.687,143.909,1.0,1.0,382.991,1.763,1.0,30.64,528,ACC,simu_bulk_2ds_ref,0.001,0.0,0.005,0.0,0.0,0.0,0.869,0.0,0.031,0.001,0.021,0.065,0.006,0.0,0.0,0.0,0.001,0.0,0.022000000000000002
TCGA-OR-A5JR-01A,1.214,13.228,15.521,2.35,1.914,137.555,132.689,3.827,1.0,1109.762,18.492,1.421,12.409,529,ACC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.012,0.0,0.829,0.006,0.039,0.0,0.044,0.067,0.002,0.0,0.0,0.0,0.0,0.012,0.044
TCGA-OR-A5L6-01A,4.781,9.158,13.43,1.0,1.0,46.876,58.517,1.234,1.0,627.232,17.387,1.0,33.796,530,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.904,0.0,0.008,0.001,0.027,0.049,0.01,0.0,0.0,0.0,0.0,0.0,0.028
TCGA-OR-A5JI-01A,1.216,18.77,6.373,2.03,1.575,78.298,63.976,1.544,1.0,524.505,7.863,1.0,4.152,531,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.017,0.0,0.788,0.0,0.049,0.042,0.057,0.045,0.002,0.0,0.0,0.0,0.0,0.017,0.099
TCGA-OR-A5J2-01A,22.353,55.42,6.252,1.57,2.283,156.468,88.139,2.254,1.136,771.84,5.43,1.0,86.644,532,ACC,simu_bulk_2ds_ref,0.011,0.0,0.006,0.0,0.002,0.0,0.83,0.0,0.076,0.034,0.003,0.032,0.006,0.0,0.0,0.0,0.011,0.002,0.037000000000000005
TCGA-OR-A5LL-01A,4.651,13.063,25.466,1.0,1.0,29.525,71.493,1.0,1.0,990.831,8.264,67.975,37.653,533,ACC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.001,0.0,0.92,0.0,0.008,0.005,0.023,0.038,0.003,0.0,0.0,0.0,0.0,0.001,0.028
TCGA-OR-A5K1-01A,2.144,13.549,11.846,1.0,1.914,192.584,84.025,2.502,1.492,1065.563,30.164,1.0,119.03,534,ACC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.004,0.0,0.735,0.0,0.095,0.0,0.11,0.046,0.009,0.0,0.0,0.0,0.0,0.004,0.11
TCGA-PK-A5HA-01A,1.289,20.731,31.019,2.422,5.275,107.824,467.36,3.009,1.137,330.27,15.823,1.503,49.943,535,ACC,simu_bulk_2ds_ref,0.001,0.0,0.002,0.0,0.01,0.0,0.753,0.0,0.051,0.0,0.04,0.141,0.003,0.0,0.0,0.0,0.001,0.01,0.04
TCGA-OR-A5LR-01A,3.029,12.457,102.519,1.008,1.968,73.175,122.292,7.574,1.0,880.416,5.171,1.0,324.371,536,ACC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.004,0.0,0.834,0.002,0.035,0.011,0.053,0.048,0.01,0.0,0.0,0.0,0.0,0.004,0.064
TCGA-OR-A5JX-01A,5.09,3.707,4.097,1.0,1.0,134.217,74.399,1.0,1.0,603.606,8.019,1.369,5.498,537,ACC,simu_bulk_2ds_ref,0.001,0.0,0.001,0.0,0.001,0.0,0.845,0.004,0.059,0.018,0.056,0.016,0.0,0.0,0.0,0.0,0.001,0.001,0.074
TCGA-OU-A5PI-01A,5.483,63.528,25.632,1.03,1.248,62.396,89.596,1.0,1.0,557.846,4.399,1.0,4.501,538,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.001,0.013,0.0,0.836,0.0,0.028,0.06,0.021,0.038,0.004,0.0,0.0,0.0,0.0,0.013999999999999999,0.081
TCGA-OR-A5JA-01A,6.81,5.129,42.592,1.0,1.0,69.337,106.336,1.0,1.0,487.942,6.113,1.0,85.37,539,ACC,simu_bulk_2ds_ref,0.001,0.0,0.009,0.0,0.001,0.0,0.868,0.0,0.03,0.004,0.04,0.036,0.011,0.0,0.0,0.0,0.001,0.001,0.044
TCGA-OR-A5KY-01A,61.441,34.04,25.227,1.182,1.742,97.816,288.089,1.0,1.0,575.207,4.246,1.753,1.283,540,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.001,0.005,0.0,0.877,0.0,0.016,0.017,0.004,0.075,0.002,0.0,0.0,0.0,0.0,0.006,0.021
TCGA-OR-A5L9-01A,1.0,3.098,5.218,1.0,1.0,25.903,58.691,6.351,1.0,446.421,9.387,1.0,4.933,541,ACC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.0,0.001,0.817,0.0,0.003,0.01,0.068,0.097,0.003,0.0,0.0,0.0,0.0,0.0,0.078
TCGA-PK-A5H9-01A,6.984,10.083,19.58,1.899,5.771,193.934,125.588,7.09,2.993,971.499,17.451,1.424,176.026,542,ACC,simu_bulk_2ds_ref,0.0,0.0,0.003,0.0,0.0,0.0,0.599,0.006,0.16,0.037,0.07,0.116,0.006,0.0,0.0,0.002,0.0,0.0,0.10700000000000001
TCGA-OR-A5JK-01A,5.973,7.142,11.78,19.533,1.475,40.479,333.952,1.0,1.209,619.598,58.052,1.83,22.148,543,ACC,simu_bulk_2ds_ref,0.003,0.0,0.015,0.0,0.058,0.0,0.673,0.013,0.012,0.051,0.067,0.102,0.006,0.0,0.0,0.0,0.003,0.058,0.118
TCGA-OR-A5LJ-01A,16.441,18.564,6.712,8.331,1.0,44.04,93.945,1.0,1.0,582.97,16.205,1.0,37.448,544,ACC,simu_bulk_2ds_ref,0.001,0.0,0.006,0.0,0.023,0.0,0.884,0.002,0.034,0.002,0.028,0.02,0.001,0.0,0.0,0.0,0.001,0.023,0.03
TCGA-OR-A5K9-01A,7.696,20.331,17.648,1.0,1.0,85.01,58.601,1.0,1.0,636.333,1.0,1.0,2.398,545,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.876,0.0,0.049,0.041,0.003,0.029,0.001,0.0,0.0,0.0,0.0,0.0,0.044000000000000004
TCGA-OR-A5LA-01A,1.877,8.533,14.729,1.241,2.197,94.457,246.554,132.92,1.0,646.799,18.963,1.0,31.143,546,ACC,simu_bulk_2ds_ref,0.0,0.0,0.002,0.0,0.001,0.0,0.75,0.0,0.013,0.003,0.081,0.128,0.021,0.0,0.0,0.0,0.0,0.001,0.084
TCGA-OR-A5JP-01A,11.348,35.288,15.456,1.0,1.0,100.731,98.667,1.898,1.0,526.286,2.325,1.0,52.315,547,ACC,simu_bulk_2ds_ref,0.001,0.0,0.001,0.0,0.006,0.0,0.866,0.001,0.039,0.036,0.018,0.03,0.003,0.0,0.0,0.0,0.001,0.006,0.05399999999999999
TCGA-OR-A5LE-01A,79.29,1.0,1.0,1.0,1.0,77.521,16.78,1.0,1.0,14.992,1.663,1.0,45.38,548,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.005,0.0,0.905,0.0,0.041,0.008,0.026,0.013,0.0,0.0,0.0,0.0,0.0,0.005,0.034
TCGA-OR-A5JB-01A,12.451,12.916,48.519,36.17,3.9,36.543,1720.044,4.617,1.527,138.374,200.259,6.031,209.889,549,ACC,simu_bulk_2ds_ref,0.0,0.0,0.006,0.054,0.002,0.0,0.734,0.0,0.048,0.003,0.013,0.138,0.001,0.0,0.0,0.001,0.0,0.056,0.016
TCGA-OR-A5J3-01A,34.356,9.738,15.168,1.0,1.0,93.811,45.676,1.734,1.0,188.984,12.12,1.0,47.125,550,ACC,simu_bulk_2ds_ref,0.001,0.0,0.004,0.0,0.001,0.0,0.9,0.0,0.028,0.015,0.029,0.02,0.002,0.0,0.0,0.0,0.001,0.001,0.044
TCGA-OR-A5JQ-01A,14.026,37.965,22.761,7.448,6.321,101.496,270.873,11.509,1.0,377.458,25.871,1.087,33.202,551,ACC,simu_bulk_2ds_ref,0.001,0.0,0.006,0.0,0.037,0.0,0.661,0.016,0.084,0.06,0.052,0.073,0.01,0.0,0.0,0.0,0.001,0.037,0.11199999999999999
TCGA-OR-A5J7-01A,92.121,10.102,8.337,1.0,1.0,160.562,52.803,1.0,1.0,1059.322,3.281,1.0,28.684,552,ACC,simu_bulk_2ds_ref,0.001,0.0,0.003,0.0,0.007,0.0,0.859,0.0,0.055,0.001,0.048,0.025,0.002,0.0,0.0,0.0,0.001,0.007,0.049
TCGA-OR-A5KZ-01A,6.301,237.559,7.572,1.346,4.353,247.658,141.787,1.0,1.0,954.708,14.93,1.0,35.029,553,ACC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.009,0.0,0.797,0.001,0.058,0.067,0.038,0.026,0.002,0.0,0.0,0.0,0.0,0.009,0.10500000000000001
TCGA-OR-A5KW-01A,3.125,11.801,4.161,1.0,1.0,66.966,60.148,1.0,1.0,172.971,19.393,1.0,2.726,554,ACC,simu_bulk_2ds_ref,0.001,0.0,0.001,0.0,0.0,0.0,0.91,0.0,0.032,0.006,0.013,0.025,0.011,0.0,0.0,0.0,0.001,0.0,0.019
TCGA-PA-A5YG-01A,1.394,18.134,20.226,5.455,5.269,164.289,247.369,94.03,1.0,595.562,39.806,1.782,12.467,555,ACC,simu_bulk_2ds_ref,0.001,0.0,0.002,0.0,0.02,0.0,0.709,0.0,0.061,0.001,0.063,0.111,0.032,0.0,0.0,0.0,0.001,0.02,0.064
TCGA-OR-A5J9-01A,14.562,37.343,6.871,1.0,1.0,195.592,40.369,1.0,3.317,748.571,14.237,1.0,2.532,556,ACC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.005,0.0,0.766,0.001,0.11,0.005,0.1,0.01,0.001,0.0,0.0,0.001,0.0,0.005,0.10500000000000001
TCGA-OR-A5K4-01A,2.303,7.758,63.966,1.0,1.0,39.571,28.485,1.0,1.0,1699.23,8.392,1.0,44.952,557,ACC,simu_bulk_2ds_ref,0.0,0.0,0.006,0.0,0.019,0.0,0.875,0.0,0.023,0.0,0.056,0.016,0.004,0.0,0.0,0.0,0.0,0.019,0.056
TCGA-OR-A5K2-01A,179.35,3.924,7.619,1.0,1.25,113.634,210.457,1.0,1.0,1097.365,3.097,1.0,3.886,558,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.889,0.001,0.032,0.005,0.023,0.043,0.006,0.0,0.0,0.0,0.0,0.0,0.028
TCGA-OR-A5JO-01A,4.19,70.193,64.165,9.648,31.203,255.543,1484.622,186.179,8.223,1230.162,186.0,2.797,179.114,559,ACC,simu_bulk_2ds_ref,0.0,0.0,0.004,0.003,0.015,0.0,0.279,0.006,0.189,0.072,0.108,0.287,0.024,0.013,0.0,0.0,0.0,0.018,0.18
TCGA-OR-A5KU-01A,19.941,14.98,4.153,1.0,1.0,47.684,44.562,1.11,1.0,399.181,4.791,1.0,3.829,560,ACC,simu_bulk_2ds_ref,0.0,0.0,0.002,0.0,0.0,0.0,0.919,0.0,0.006,0.048,0.007,0.015,0.003,0.0,0.0,0.0,0.0,0.0,0.055
TCGA-OR-A5LB-01A,12.022,6.163,3.938,1.0,1.0,144.781,34.869,1.0,1.0,22.532,2.352,1.0,7.248,561,ACC,simu_bulk_2ds_ref,0.001,0.0,0.002,0.0,0.0,0.0,0.885,0.0,0.062,0.0,0.023,0.022,0.005,0.0,0.0,0.0,0.001,0.0,0.023
TCGA-OR-A5L8-01A,21.886,175.922,6.048,1.0,1.0,37.215,43.907,1.0,1.0,284.786,5.137,1.0,20.022,562,ACC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.0,0.0,0.89,0.0,0.029,0.037,0.034,0.009,0.001,0.0,0.0,0.0,0.0,0.0,0.07100000000000001
TCGA-OR-A5J8-01A,11.489,1056.071,93.369,20.589,8.627,198.227,3725.449,9.731,2.497,48.516,94.084,4.492,1.0,563,ACC,simu_bulk_2ds_ref,0.0,0.0,0.019,0.0,0.031,0.0,0.162,0.0,0.083,0.38,0.004,0.319,0.001,0.0,0.0,0.0,0.0,0.031,0.384
TCGA-OR-A5LS-01A,34.327,12.336,17.769,1.0,1.0,38.421,114.993,2.497,1.0,529.18,7.363,1.0,25.736,564,ACC,simu_bulk_2ds_ref,0.017,0.0,0.001,0.0,0.008,0.0,0.886,0.0,0.05,0.0,0.018,0.014,0.006,0.0,0.0,0.0,0.017,0.008,0.018
TCGA-OR-A5JW-01A,3.11,7.59,109.374,1.0,1.017,95.56,78.037,2.925,1.0,494.111,1.859,1.471,1.187,565,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.848,0.0,0.088,0.001,0.014,0.043,0.006,0.0,0.0,0.0,0.0,0.0,0.015
TCGA-OR-A5JC-01A,3.752,9.94,11.253,1.0,2.279,67.473,142.271,1.691,1.0,797.327,12.629,1.0,57.456,566,ACC,simu_bulk_2ds_ref,0.001,0.0,0.0,0.0,0.005,0.0,0.842,0.002,0.026,0.008,0.07,0.037,0.009,0.0,0.0,0.0,0.001,0.005,0.07800000000000001
TCGA-OR-A5LP-01A,1.66,45.51,22.862,1.387,1.909,88.658,400.133,16.104,1.0,646.804,13.874,1.545,23.872,567,ACC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.003,0.0,0.725,0.0,0.054,0.005,0.086,0.114,0.012,0.0,0.0,0.0,0.0,0.003,0.091
TCGA-OR-A5J1-01A,3.41,6.912,6.565,1.0,1.834,45.067,178.564,1.61,1.0,677.657,6.143,1.371,2.537,568,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.878,0.006,0.028,0.001,0.047,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.048
TCGA-OR-A5K0-01A,257.154,8.195,1.679,1.0,1.0,29.637,57.469,1.0,1.0,332.305,4.692,1.0,73.247,569,ACC,simu_bulk_2ds_ref,0.0,0.001,0.0,0.006,0.0,0.0,0.908,0.0,0.007,0.011,0.008,0.053,0.004,0.0,0.0,0.0,0.001,0.006,0.019
TCGA-OR-A5K8-01A,1.618,4.152,12.496,1.0,1.0,31.33,28.645,1.0,1.0,394.5,4.355,1.0,2.005,570,ACC,simu_bulk_2ds_ref,0.001,0.0,0.0,0.0,0.0,0.0,0.917,0.0,0.017,0.002,0.038,0.023,0.003,0.0,0.0,0.0,0.001,0.0,0.04
TCGA-OR-A5L5-01A,30.112,55.603,19.837,3.119,4.419,44.708,240.145,69.591,2.337,1079.699,33.085,1.135,186.705,571,ACC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.018,0.0,0.692,0.0,0.013,0.057,0.053,0.143,0.022,0.0,0.0,0.0,0.0,0.018,0.11
TCGA-OR-A5KT-01A,17.449,83.367,37.11,2.565,7.434,440.183,862.784,1.0,7.17,1577.409,26.823,6.19,10.924,572,ACC,simu_bulk_2ds_ref,0.036,0.0,0.009,0.0,0.009,0.0,0.563,0.0,0.081,0.131,0.047,0.12,0.004,0.0,0.0,0.0,0.036,0.009,0.178
TCGA-OR-A5JF-01A,8.751,5.839,48.418,1.0,1.0,61.848,29.591,1.0,1.0,662.529,2.698,1.0,11.742,573,ACC,simu_bulk_2ds_ref,0.001,0.0,0.001,0.0,0.006,0.0,0.865,0.0,0.041,0.004,0.057,0.02,0.006,0.0,0.0,0.0,0.001,0.006,0.061
TCGA-OR-A5L4-01A,1.7,5.662,21.176,1.0,1.0,154.954,98.851,1.0,1.0,656.056,5.423,1.0,6.667,574,ACC,simu_bulk_2ds_ref,0.001,0.0,0.0,0.0,0.0,0.0,0.799,0.0,0.105,0.003,0.064,0.023,0.005,0.0,0.0,0.0,0.001,0.0,0.067
TCGA-OR-A5JS-01A,45.614,3.43,4.467,1.188,1.0,75.121,37.671,1.0,1.0,977.897,12.19,1.0,17.934,575,ACC,simu_bulk_2ds_ref,0.0,0.0,0.002,0.005,0.001,0.0,0.915,0.0,0.035,0.02,0.002,0.012,0.008,0.0,0.0,0.0,0.0,0.006,0.022
TCGA-OR-A5K5-01A,117.696,3.971,1.726,1.0,1.0,95.341,97.444,1.0,1.0,808.447,4.608,1.0,34.52,576,ACC,simu_bulk_2ds_ref,0.012,0.0,0.002,0.0,0.002,0.0,0.913,0.0,0.01,0.015,0.01,0.033,0.003,0.0,0.0,0.0,0.012,0.002,0.025
TCGA-OR-A5JG-01A,4.336,10.114,54.461,1.0,1.0,80.354,145.427,3.724,1.0,661.96,2.76,1.0,1.0,577,ACC,simu_bulk_2ds_ref,0.001,0.0,0.0,0.0,0.009,0.0,0.918,0.0,0.028,0.004,0.001,0.035,0.003,0.0,0.0,0.0,0.001,0.009,0.005
TCGA-PK-A5H8-01A,1.669,5.56,18.832,1.0,1.0,75.892,227.522,1.0,1.774,1364.149,7.906,2.767,23.213,578,ACC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.0,0.0,0.86,0.0,0.039,0.0,0.034,0.048,0.016,0.0,0.0,0.0,0.0,0.0,0.034
TCGA-HQ-A5NE-01A,5.369,567.181,22.747,1.836,3.487,99.538,96.703,14.072,6.587,142.637,8.992,4.193,2855.507,6348,BLCA,simu_bulk_2ds_ref,0.0,0.0,0.018,0.007,0.0,0.0,0.744,0.007,0.09,0.086,0.015,0.021,0.011,0.0,0.001,0.0,0.0,0.007,0.10099999999999999
